year,Typhoon,municipality,province,windspeed,rainfall24,rainfall6,rainfallaverage,area,yield,areayieldrataio,percentageofarea,darea,yielda,fgprice,dctrice
2018,Mangkhut,Balbalan,Kalinga,43.11299866,4.262946429,1.065736607,2.664341518,23,5.83,3.945111492,0.398083843,9.155928381,2.320828803,20.79,400777.22
2018,Mangkhut,Baleno,Masbate,0,3.783333333,0.945833333,2.364583333,256,2.7,94.81481481,0.127981063,32.76315216,0.34554887,20.79,213526.95
2018,Mangkhut,Baler,Aurora,13.93217016,3.521180556,0.880295139,2.200737848,1390.4,3.92,354.6938776,0.484113109,673.1108666,1.897723387,20.79,24092232.32
2018,Mangkhut,Balete,Batangas,6.726092908,1.138541667,0.284635417,0.711588542,0,0,0,0.164472583,0,0,20.79,0
2018,Mangkhut,Balete,Aklan,0,1.062083333,0.265520833,0.663802083,1152,2.88,400,0.164472583,189.4724161,0.47368104,20.79,1692737.15
2018,Mangkhut,Baliangao,Misamis Occidental,0,0.625520833,0.156380208,0.390950521,496,2.88,172.2222222,0.157704139,78.2212528,0.454187919,20.79,670066.46
2018,Mangkhut,Baliguian,Zamboanga del Norte,0,2.124479167,0.531119792,1.327799479,207,2.49,83.13253012,0.242160909,50.12730819,0.602980664,20.79,570079.34
2018,Mangkhut,Balilihan,Bohol,0,0.566666667,0.141666667,0.354166667,237,1.97,120.3045685,0.119158145,28.24048028,0.234741545,20.79,125031.54
2018,Mangkhut,Balindong,Lanao del Sur,0,1.794791667,0.448697917,1.121744792,0,0,0,0.181738279,0,0,20.79,0
2018,Mangkhut,Balingasag,Misamis Oriental,0,1.128571429,0.282142857,0.705357143,484,4.61,104.989154,0.160882927,77.86733689,0.741670296,20.79,1089240.39
2018,Mangkhut,Balingoan,Misamis Oriental,0,0.680833333,0.170208333,0.425520833,0,0,0,0.11408739,0,0,20.79,0
2018,Mangkhut,Baliuag,Bulacan,8.58187027,2.941666667,0.735416667,1.838541667,2799.52,4.81,582.02079,0.235735031,659.9449345,1.1338855,20.79,14113490.4
2018,Mangkhut,Ballesteros,Cagayan,69.9425635,4.476041667,1.119010417,2.797526042,5489,4.26,1288.497653,0.600381024,3295.491443,2.557623164,20.79,158969671.1
2018,Mangkhut,Baloi,Lanao del Norte,0,0.8859375,0.221484375,0.553710938,578,3.73,154.9597855,0.116378189,67.26659331,0.434090645,20.79,550728.3
2018,Mangkhut,Balud,Masbate,0,1.627708333,0.406927083,1.017317708,3207,2.97,1079.79798,0.233758269,749.6627695,0.69426206,20.79,9816279.29
2018,Mangkhut,Balungao,Pangasinan,10.28039089,3.956770833,0.989192708,2.472981771,1212,4.16,291.3461538,0.295531733,358.1844607,1.22941201,20.79,8305422.36
2018,Mangkhut,Bamban,Tarlac,8.450999209,5.06796875,1.266992188,3.167480469,539,4.41,122.2222222,0.200608422,108.1279396,0.884683143,20.79,1804193.9
2018,Mangkhut,Bambang,Nueva Vizcaya,14.60292529,2.933928571,0.733482143,1.833705357,3885.96,3.76,1033.5,0.372878822,1448.992188,1.402024372,20.79,38315909.44
2018,Mangkhut,Banate,Iloilo,0,1.027916667,0.256979167,0.642447917,2112,2.9,728.2758621,0.083801476,176.9887176,0.243024281,20.79,811246.4
2018,Mangkhut,Banaue,Ifugao,19.40815327,2.632440476,0.658110119,1.645275298,0,0,0,0.412288361,0,0,20.79,0
2018,Mangkhut,Banaybanay,Davao Oriental,0,0.03125,0.0078125,0.01953125,3121,4.08,764.9509804,0.544845514,1700.462848,2.222969696,20.79,71294860.1
2018,Mangkhut,Banayoyo,Ilocos Sur,22.94784079,2.609375,0.65234375,1.630859375,28,3.62,7.73480663,0.499544626,13.98724954,1.808351547,20.79,477059.68
2018,Mangkhut,Banga,Aklan,0,0.788194444,0.197048611,0.492621528,1459,2.69,542.3791822,0.121527682,177.3088883,0.326909465,20.79,1093240.05
2018,Mangkhut,Banga,South Cotabato,0,0.180729167,0.045182292,0.112955729,6175,3.41,1810.85044,0.121527682,750.4334375,0.414409396,20.79,5865422.51
2018,Mangkhut,Bangar,La Union,17.87429554,3.68125,0.9203125,2.30078125,1311.88,4.49,292.1781737,0.499960461,655.88813,2.244822471,20.79,27769579.48
2018,Mangkhut,Bangued,Abra,34.73475053,1.925347222,0.481336806,1.203342014,788,3.03,260.0660066,0.452241813,356.3665489,1.370292694,20.79,9210173.35
2018,Mangkhut,Bangui,Ilocos Norte,62.18859846,2.127083333,0.531770833,1.329427083,491,4.96,98.99193548,0.430882555,211.5633344,2.137177472,20.79,8527829.76
2018,Mangkhut,Bani,Pangasinan,12.52187788,3.944791667,0.986197917,2.465494792,276,3.94,70.05076142,0.393840175,108.6998883,1.551730289,20.79,3181287.11
2018,Mangkhut,Banisilan,Cotabato,0,0.609895833,0.152473958,0.381184896,275,3,91.66666667,0.182768113,50.26123109,0.548304339,20.79,519771.35
2018,Mangkhut,Banna,Ilocos Norte,48.67478321,2.455208333,0.613802083,1.534505208,107,4.86,22.01646091,0.287337551,30.74511795,1.396460497,20.79,809771.24
2018,Mangkhut,Bansalan,Davao del Sur,0,0.103571429,0.025892857,0.064732143,1763,4.15,424.8192771,0.179963385,317.2754472,0.746848046,20.79,4469163.52
2018,Mangkhut,Bansud,Oriental Mindoro,0,2.828472222,0.707118056,1.767795139,2605,3.62,719.6132597,0.100303062,261.2894761,0.363097084,20.79,1789378.48
2018,Mangkhut,Bantay,Ilocos Sur,32.73694627,1.586666667,0.396666667,0.991666667,548,4.37,125.4004577,0.520412649,285.1861317,2.274203277,20.79,12232499.71
2018,Mangkhut,Bantayan,Cebu,0,1.098611111,0.274652778,0.686631944,0,0,0,0.228840009,0,0,20.79,0
2018,Mangkhut,Banton,Romblon,0,1.04375,0.2609375,0.65234375,0,0,0,0.34892629,0,0,20.79,0
2018,Mangkhut,Baras,Rizal,8.649478949,3.799479167,0.949869792,2.374674479,395,4.23,93.38061466,0.199224668,78.69374378,0.842720345,20.79,1250780.83
2018,Mangkhut,Baras,Catanduanes,13.21740425,5.349479167,1.337369792,3.343424479,230,3.68,62.5,0.199224668,45.8216736,0.733146778,20.79,633606.19
2018,Mangkhut,Barbaza,Antique,0,1.417261905,0.354315476,0.885788691,928,3.21,289.0965732,0.122132736,113.3391786,0.392046081,20.79,838059.22
2018,Mangkhut,Barcelona,Sorsogon,9.695247139,3.065104167,0.766276042,1.915690104,751,3.78,198.6772487,0.374277168,281.0821535,1.414767697,20.79,7500253.43
2018,Mangkhut,Barili,Cebu,0,0.730416667,0.182604167,0.456510417,105,2.86,36.71328671,0.116967419,12.28157898,0.334526818,20.79,77489.47
2018,Mangkhut,Barira,Maguindanao,0,0.923611111,0.230902778,0.577256944,276,2.37,116.4556962,0.192237864,53.05765056,0.455603739,20.79,455924.39
2018,Mangkhut,Barlig,Mountain Province,23.16030476,3.170138889,0.792534722,1.981336806,0,0,0,0.559774555,0,0,20.79,0
